SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE
Scytalopus sanctaemartae,Santa Marta Tapaculo,samtap1
Scytalopus micropterus,Long-tailed Tapaculo,lottap1
Scytalopus femoralis,Rufous-vented Tapaculo,ruvtap1
Scytalopus intermedius,Utcubamba Tapaculo,blatap2
Scytalopus macropus,Large-footed Tapaculo,laftap1
Scytalopus gettyae,Junin Tapaculo,juntap1
Scytalopus unicolor,Unicolored Tapaculo,unitap1
Scytalopus acutirostris,Tschudi's Tapaculo,tsctap1
Scytalopus latrans,Blackish Tapaculo,blatap1
Scytalopus argentifrons,Silvery-fronted Tapaculo,siftap1
Scytalopus vicinior,Nariño Tapaculo,nartap2
Scytalopus panamensis,Tacarcuna Tapaculo,tactap1
Scytalopus chocoensis,Choco Tapaculo,chotap1
Scytalopus rodriguezi,Magdalena Tapaculo,upmtap1
Scytalopus stilesi,Stiles's Tapaculo,stitap1
Scytalopus alvarezlopezi,Tatama Tapaculo,alptap1
Scytalopus robbinsi,Ecuadorian Tapaculo,ecutap1
Scytalopus caracae,Caracas Tapaculo,cartap1
Scytalopus griseicollis,Pale-bellied Tapaculo,mattap1
Scytalopus latebricola,Brown-rumped Tapaculo,brrtap1
Scytalopus perijanus,Perija Tapaculo,pertap1
Scytalopus meridanus,Merida Tapaculo,mertap1
Scytalopus parkeri,Chusquea Tapaculo,chutap2
Scytalopus spillmanni,Spillmann's Tapaculo,spitap2
Formicarius colma,Rufous-capped Antthrush,rucant2
Formicarius moniliger,Mayan Antthrush,bkfant2
Formicarius analis,Black-faced Antthrush,blfant1
Formicarius rufifrons,Rufous-fronted Antthrush,rufant3
Formicarius nigricapillus,Black-capped Antthrush,bkhant7
Formicarius destructus,Black-hooded Antthrush,bkhant8
Formicarius rufipectus,Rufous-breasted Antthrush,rubant1
Chamaeza campanisona,Short-tailed Antthrush,shtant1
Chamaeza nobilis,Striated Antthrush,strant3
Chamaeza meruloides,Such's Antthrush,sucant1
Chamaeza turdina,Schwartz's Antthrush,schant1
Chamaeza ruficauda,Rufous-tailed Antthrush,rutant2
Chamaeza mollissima,Barred Antthrush,barant2
Sclerurus mexicanus,Middle American Leaftosser,tatlea1
Sclerurus obscurior,South American Leaftosser,soalea1
Sclerurus rufigularis,Short-billed Leaftosser,shblea1
Sclerurus guatemalensis,Scaly-throated Leaftosser,sctlea1
Sclerurus caudacutus,Black-tailed Leaftosser,bltlea1
Sclerurus albigularis,Gray-throated Leaftosser,grtlea1
Sclerurus scansor,Rufous-breasted Leaftosser,rublea1
Geositta peruviana,Coastal Miner,coamin1
Geositta tenuirostris,Slender-billed Miner,slbmin1
Geositta cunicularia,Common Miner,commin1
Geositta punensis,Puna Miner,punmin1
Geositta poeciloptera,Campo Miner,cammin2
Geositta crassirostris,Thick-billed Miner,thbmin1
Geositta rufipennis,Rufous-banded Miner,rubmin1
Geositta maritima,Grayish Miner,gramin1
Geositta antarctica,Short-billed Miner,shbmin1
Geositta saxicolina,Dark-winged Miner,dawmin1
Geositta isabellina,Creamy-rumped Miner,crrmin1
Certhiasomus stictolaemus,Spot-throated Woodcreeper,sptwoo1
Sittasomus griseicapillus,Olivaceous Woodcreeper,oliwoo1
Deconychura typica,Piping Long-tailed Woodcreeper,lotwoo3
Deconychura longicauda,Whistling Long-tailed Woodcreeper,lotwoo4
Deconychura pallida,Mournful Long-tailed Woodcreeper,lotwoo5
Dendrocincla tyrannina,Tyrannine Woodcreeper,tyrwoo1
Dendrocincla merula,White-chinned Woodcreeper,whcwoo1
Dendrocincla homochroa,Ruddy Woodcreeper,rudwoo1
Dendrocincla anabatina,Tawny-winged Woodcreeper,tawwoo1
Dendrocincla fuliginosa,Plain-brown Woodcreeper,plbwoo1
Dendrocincla turdina,Plain-winged Woodcreeper,plwwoo1
Glyphorynchus spirurus,Wedge-billed Woodcreeper,webwoo1
Dendrexetastes rufigula,Cinnamon-throated Woodcreeper,citwoo1
Nasica longirostris,Long-billed Woodcreeper,lobwoo1
Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,nobwoo1
Dendrocolaptes certhia,Amazonian Barred-Woodcreeper,amabaw1
Dendrocolaptes picumnus,Black-banded Woodcreeper,blbwoo1
Dendrocolaptes hoffmannsi,Hoffmanns's Woodcreeper,hofwoo2
Dendrocolaptes platyrostris,Planalto Woodcreeper,plawoo1
Hylexetastes stresemanni,Bar-bellied Woodcreeper,babwoo1
Hylexetastes perrotii,Red-billed Woodcreeper,rebwoo1
Hylexetastes uniformis,Uniform Woodcreeper,uniwoo1
Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,stbwoo1
Xiphocolaptes falcirostris,Moustached Woodcreeper,mouwoo1
Xiphocolaptes albicollis,White-throated Woodcreeper,whtwoo1
Xiphocolaptes major,Great Rufous Woodcreeper,grrwoo1
Xiphorhynchus obsoletus,Striped Woodcreeper,strwoo2
Xiphorhynchus atlanticus,Ceara Woodcreeper,leswoo4
Xiphorhynchus fuscus,Lesser Woodcreeper,leswoo2
Xiphorhynchus pardalotus,Chestnut-rumped Woodcreeper,chrwoo1
Xiphorhynchus ocellatus,Ocellated Woodcreeper,ocewoo1
Xiphorhynchus elegans,Elegant Woodcreeper,elewoo1
Xiphorhynchus spixii,Spix's Woodcreeper,spiwoo1
Xiphorhynchus susurrans,Cocoa Woodcreeper,cocwoo1
Xiphorhynchus guttatus,Buff-throated Woodcreeper,butwoo1
Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,ivbwoo1
Xiphorhynchus lachrymosus,Black-striped Woodcreeper,blswoo1
Xiphorhynchus erythropygius,Spotted Woodcreeper,spowoo1
Xiphorhynchus triangularis,Olive-backed Woodcreeper,olbwoo1
Dendroplex picus,Straight-billed Woodcreeper,stbwoo2
Dendroplex kienerii,Zimmer's Woodcreeper,zimwoo2
Campylorhamphus trochilirostris,Red-billed Scythebill,rebscy1
Campylorhamphus falcularius,Black-billed Scythebill,blbscy1
Campylorhamphus procurvoides,Curve-billed Scythebill,cubscy1
Campylorhamphus probatus,Tapajos Scythebill,tapscy2
Campylorhamphus multostriatus,Xingu Scythebill,cubscy5
Campylorhamphus pusillus,Brown-billed Scythebill,brbscy1
Drymotoxeres pucheranii,Greater Scythebill,grescy1
Drymornis bridgesii,Scimitar-billed Woodcreeper,scbwoo4
Lepidocolaptes souleyetii,Streak-headed Woodcreeper,sthwoo1
Lepidocolaptes angustirostris,Narrow-billed Woodcreeper,nabwoo1
Lepidocolaptes leucogaster,White-striped Woodcreeper,whswoo1
Lepidocolaptes affinis,Spot-crowned Woodcreeper,spcwoo1
Lepidocolaptes lacrymiger,Montane Woodcreeper,monwoo1
Lepidocolaptes squamatus,Scaled Woodcreeper,scawoo1
Lepidocolaptes falcinellus,Scalloped Woodcreeper,scawoo2
Lepidocolaptes duidae,Duida Woodcreeper,linwoo4
Lepidocolaptes albolineatus,Guianan Woodcreeper,linwoo3
Lepidocolaptes fatimalimae,Inambari Woodcreeper,inawoo1
Lepidocolaptes fuscicapillus,Dusky-capped Woodcreeper,ducwoo1
Xenops tenuirostris,Slender-billed Xenops,slbxen1
Xenops mexicanus,Northern Plain-Xenops,plaxen2
Xenops genibarbis,Amazonian Plain-Xenops,plaxen3
Xenops minutus,Atlantic Plain-Xenops,plaxen4
Xenops rutilans,Streaked Xenops,strxen1
Berlepschia rikeri,Point-tailed Palmcreeper,potpal1
Microxenops milleri,Rufous-tailed Xenops,rutxen1
Pygarrhichas albogularis,White-throated Treerunner,whttre2
Ochetorhynchus andaecola,Rock Earthcreeper,rocear1
Ochetorhynchus ruficaudus,Straight-billed Earthcreeper,stbear2
Ochetorhynchus phoenicurus,Band-tailed Earthcreeper,batear1
Ochetorhynchus melanurus,Crag Chilia,crachi1
Pseudocolaptes lawrencii,Buffy Tuftedcheek,buftuf1
Pseudocolaptes johnsoni,Pacific Tuftedcheek,buftuf3
Pseudocolaptes boissonneautii,Streaked Tuftedcheek,strtuf1
Premnornis guttuliger,Rusty-winged Barbtail,ruwbar1
Tarphonomus harterti,Bolivian Earthcreeper,bolear1
Tarphonomus certhioides,Chaco Earthcreeper,chaear1
Furnarius figulus,Wing-banded Hornero,wibhor1
Furnarius cinnamomeus,Pacific Hornero,palhor4
Furnarius longirostris,Caribbean Hornero,palhor5
Furnarius leucopus,Pale-legged Hornero,palhor3
Furnarius torridus,Pale-billed Hornero,pabhor2
Furnarius minor,Lesser Hornero,leshor1
Furnarius rufus,Rufous Hornero,rufhor2
Furnarius cristatus,Crested Hornero,crehor1
Lochmias nematura,Sharp-tailed Streamcreeper,shtstr1
Phleocryptes melanops,Wren-like Rushbird,wrlrus1
Limnornis curvirostris,Curve-billed Reedhaunter,cubree1
Geocerthia serrana,Striated Earthcreeper,strear1
Upucerthia saturatior,Patagonian Forest Earthcreeper,pafear1
Upucerthia dumetaria,Scale-throated Earthcreeper,sctear1
Upucerthia albigula,White-throated Earthcreeper,whtear1
Upucerthia validirostris,Buff-breasted Earthcreeper,bubear2
Cinclodes pabsti,Long-tailed Cinclodes,lotcin1
Cinclodes fuscus,Buff-winged Cinclodes,buwcin1
Cinclodes antarcticus,Blackish Cinclodes,blacin1
Cinclodes comechingonus,Cordoba Cinclodes,corcin1
Cinclodes albidiventris,Chestnut-winged Cinclodes,chwcin1
Cinclodes olrogi,Olrog's Cinclodes,olrcin1
Cinclodes albiventris,Cream-winged Cinclodes,crwcin1
Cinclodes oustaleti,Gray-flanked Cinclodes,gyfcin1
Cinclodes excelsior,Stout-billed Cinclodes,stbcin1
Cinclodes aricomae,Royal Cinclodes,roycin1
Cinclodes palliatus,White-bellied Cinclodes,whbcin1
Cinclodes atacamensis,White-winged Cinclodes,whwcin1
Cinclodes patagonicus,Dark-bellied Cinclodes,dabcin1
Cinclodes taczanowskii,Surf Cinclodes,surcin1
Cinclodes nigrofumosus,Seaside Cinclodes,seacin1
Anabazenops dorsalis,Dusky-cheeked Foliage-gleaner,ducfog1
Anabazenops fuscus,White-collared Foliage-gleaner,wcfgle1
Megaxenops parnaguae,Great Xenops,grexen1
Cichlocolaptes leucophrus,Pale-browed Treehunter,pabtre1
Cichlocolaptes mazarbarnetti,Cryptic Treehunter,crytre1
Heliobletus contaminatus,Sharp-billed Treehunter,shbtre1
Neophilydor fuscipenne,Slaty-winged Foliage-gleaner,swfgle
Neophilydor erythrocercum,Rufous-rumped Foliage-gleaner,rurfog1
Philydor novaesi,Alagoas Foliage-gleaner,alfgle1
Philydor atricapillus,Black-capped Foliage-gleaner,bcfgle1
Philydor pyrrhodes,Cinnamon-rumped Foliage-gleaner,crfgle1
Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,stfgle1
Anabacerthia striaticollis,Montane Foliage-gleaner,mofgle1
Anabacerthia ruficaudata,Rufous-tailed Foliage-gleaner,rutfog1
Anabacerthia amaurotis,White-browed Foliage-gleaner,whbfog1
Anabacerthia lichtensteini,Ochre-breasted Foliage-gleaner,obfgle2
Syndactyla guttulata,Guttulate Foliage-gleaner,gufgle1
Syndactyla subalaris,Lineated Foliage-gleaner,lifgle1
Syndactyla rufosuperciliata,Buff-browed Foliage-gleaner,bbfgle1
Syndactyla ruficollis,Rufous-necked Foliage-gleaner,rnfgle1
Syndactyla dimidiata,Russet-mantled Foliage-gleaner,rumfog1
Syndactyla roraimae,White-throated Foliage-gleaner,wtfgle1
Syndactyla ucayalae,Peruvian Recurvebill,perrec1
Syndactyla striata,Bolivian Recurvebill,bolrec1
Ancistrops strigilatus,Chestnut-winged Hookbill,chwhoo1
Dendroma rufa,Buff-fronted Foliage-gleaner,bffgle
Dendroma erythroptera,Chestnut-winged Foliage-gleaner,chwfog1
Clibanornis rectirostris,Chestnut-capped Foliage-gleaner,ccfgle1
Clibanornis dendrocolaptoides,Canebrake Groundcreeper,cangro1
Clibanornis erythrocephalus,Henna-hooded Foliage-gleaner,hhfgle1
Clibanornis rubiginosus,Ruddy Foliage-gleaner,rufgle1
Clibanornis rufipectus,Santa Marta Foliage-gleaner,samfog1
Thripadectes ignobilis,Uniform Treehunter,unitre1
Thripadectes flammulatus,Flammulated Treehunter,flatre1
Thripadectes scrutator,Rufous-backed Treehunter,rubtre1
Thripadectes holostictus,Striped Treehunter,strtre1
Thripadectes virgaticeps,Streak-capped Treehunter,stctre1
Thripadectes rufobrunneus,Streak-breasted Treehunter,stbtre1
Thripadectes melanorhynchus,Black-billed Treehunter,blbtre1
Automolus rufipileatus,Chestnut-crowned Foliage-gleaner,ccfgle2
Automolus melanopezus,Brown-rumped Foliage-gleaner,brfgle1
Automolus cervinigularis,Fawn-throated Foliage-gleaner,butfog9
Automolus exsertus,Chiriqui Foliage-gleaner,butfog4
Automolus ochrolaemus,Ochre-throated Foliage-gleaner,btfgle1
Automolus virgatus,Western Woodhaunter,strwoo5
Automolus subulatus,Eastern Woodhaunter,strwoo4
Automolus infuscatus,Olive-backed Foliage-gleaner,obfgle3
Automolus paraensis,Para Foliage-gleaner,parfog1
Automolus lammi,Pernambuco Foliage-gleaner,perfog1
Automolus leucophthalmus,White-eyed Foliage-gleaner,wefgle1
Premnoplex brunnescens,Spotted Barbtail,spobar1
Premnoplex tatei,White-throated Barbtail,whtbar1
Margarornis bellulus,Beautiful Treerunner,beatre1
Margarornis rubiginosus,Ruddy Treerunner,rudtre1
Margarornis stellatus,Fulvous-dotted Treerunner,fudtre1
Margarornis squamiger,Pearled Treerunner,peatre1
Aphrastura spinicauda,Thorn-tailed Rayadito,thtray1
Aphrastura masafuerae,Masafuera Rayadito,masray1
Sylviorthorhynchus desmursii,Des Murs's Wiretail,demwir1
Sylviorthorhynchus yanacensis,Tawny Tit-Spinetail,tatspi1
Leptasthenura fuliginiceps,Brown-capped Tit-Spinetail,bctspi1
Leptasthenura platensis,Tufted Tit-Spinetail,tutspi1
Leptasthenura aegithaloides,Plain-mantled Tit-Spinetail,pmtspi1
Leptasthenura striolata,Striolated Tit-Spinetail,sttspi2
Leptasthenura pileata,Rusty-crowned Tit-Spinetail,rctspi1
Leptasthenura xenothorax,White-browed Tit-Spinetail,wbtspi1
Leptasthenura striata,Streaked Tit-Spinetail,sttspi1
Leptasthenura andicola,Andean Tit-Spinetail,antspi1
Leptasthenura setaria,Araucaria Tit-Spinetail,artspi1
Phacellodomus inornatus,Plain Thornbird,ruftho3
Phacellodomus rufifrons,Rufous-fronted Thornbird,ruftho1
Phacellodomus striaticeps,Streak-fronted Thornbird,stftho1
Phacellodomus sibilatrix,Little Thornbird,littho1
Phacellodomus dorsalis,Chestnut-backed Thornbird,chbtho1
Phacellodomus maculipectus,Spot-breasted Thornbird,spbtho1
Phacellodomus striaticollis,Freckle-breasted Thornbird,frbtho1
Phacellodomus ruber,Greater Thornbird,gretho2
Phacellodomus erythrophthalmus,Orange-eyed Thornbird,oretho1
Phacellodomus ferrugineigula,Orange-breasted Thornbird,orbtho1
Hellmayrea gularis,White-browed Spinetail,whbspi2
Anumbius annumbi,Firewood-gatherer,firgat1
Coryphistera alaudina,Lark-like Brushrunner,lalbru1
Asthenes huancavelicae,Pale-tailed Canastero,patcan1
Asthenes arequipae,Dark-winged Canastero,crbcan4
Asthenes dorbignyi,Rusty-vented Canastero,crbcan2
Asthenes berlepschi,Berlepsch's Canastero,bercan1
Asthenes baeri,Short-billed Canastero,shbcan1
Asthenes luizae,Cipo Canastero,cipcan1
Asthenes hudsoni,Hudson's Canastero,hudcan1
Asthenes anthoides,Austral Canastero,auscan1
Asthenes urubambensis,Line-fronted Canastero,lifcan1
Asthenes flammulata,Many-striped Canastero,mascan1
Asthenes virgata,Junin Canastero,juncan1
Asthenes maculicauda,Scribble-tailed Canastero,sctcan1
Asthenes wyatti,Streak-backed Canastero,stbcan9
Asthenes humilis,Streak-throated Canastero,sttcan1
Asthenes modesta,Cordilleran Canastero,corcan1
Asthenes moreirae,Itatiaia Spinetail,itaspi1
Asthenes pyrrholeuca,Sharp-billed Canastero,shbcan2
Asthenes harterti,Black-throated Thistletail,bltthi1
Asthenes helleri,Puna Thistletail,punthi1
Asthenes ayacuchensis,Ayacucho Thistletail,vilthi3
Asthenes vilcabambae,Vilcabamba Thistletail,vilthi2
Asthenes pudibunda,Canyon Canastero,cancan1
Asthenes ottonis,Rusty-fronted Canastero,rufcan1
Asthenes heterura,Maquis Canastero,maqcan1
Asthenes palpebralis,Eye-ringed Thistletail,eyrthi1
Asthenes coryi,Ochre-browed Thistletail,ocbthi1
Asthenes perijana,Perija Thistletail,perthi1
Asthenes fuliginosa,White-chinned Thistletail,whcthi1
Asthenes griseomurina,Mouse-colored Thistletail,mocthi1
Acrobatornis fonsecai,Pink-legged Graveteiro,pilgra1
Metopothrix aurantiaca,Orange-fronted Plushcrown,orfplu2
Xenerpestes minlosi,Double-banded Graytail,dobgra1
Xenerpestes singularis,Equatorial Graytail,equgra1
Siptornis striaticollis,Spectacled Prickletail,spepri1
Roraimia adusta,Roraiman Barbtail,rorbar1
Thripophaga gutturata,Speckled Spinetail,spespi1
Thripophaga macroura,Striated Softtail,strsof1
Thripophaga cherriei,Orinoco Softtail,orisof1
Thripophaga amacurensis,Delta Amacuro Softtail,deasof1
Thripophaga fusciceps,Plain Softtail,plasof1
Limnoctites rectirostris,Straight-billed Reedhaunter,stbree2
Limnoctites sulphuriferus,Sulphur-bearded Reedhaunter,sutspi1
Cranioleuca berlepschi,Russet-mantled Softtail,rumsof1
Cranioleuca weskei,Vilcabamba Spinetail,marspi1
Cranioleuca marcapatae,Marcapata Spinetail,marspi4
Cranioleuca albiceps,Light-crowned Spinetail,licspi1
Cranioleuca vulpina,Rusty-backed Spinetail,rubspi4
Cranioleuca dissita,Coiba Spinetail,rubspi5
Cranioleuca vulpecula,Parker's Spinetail,parspi1
Cranioleuca subcristata,Crested Spinetail,crespi1
Cranioleuca pyrrhophia,Stripe-crowned Spinetail,stcspi2
Cranioleuca henricae,Bolivian Spinetail,bolspi1
Cranioleuca obsoleta,Olive Spinetail,olispi1
Cranioleuca pallida,Pallid Spinetail,palspi1
Cranioleuca semicinerea,Gray-headed Spinetail,gyhspi1
Cranioleuca albicapilla,Creamy-crested Spinetail,crcspi1
Cranioleuca erythrops,Red-faced Spinetail,refspi1
Cranioleuca demissa,Tepui Spinetail,tepspi1
Cranioleuca hellmayri,Streak-capped Spinetail,stcspi1
Cranioleuca curtata,Ash-browed Spinetail,asbspi1
Cranioleuca antisiensis,Line-cheeked Spinetail,licspi5
Cranioleuca muelleri,Scaled Spinetail,scaspi1
Pseudasthenes humicola,Dusky-tailed Canastero,dutcan1
Pseudasthenes patagonica,Patagonian Canastero,patcan2
Pseudasthenes steinbachi,Steinbach's Canastero,stecan1
Pseudasthenes cactorum,Cactus Canastero,caccan1
Spartonoica maluroides,Bay-capped Wren-Spinetail,bcwspi1
Pseudoseisura cristata,Caatinga Cacholote,caacac1
Pseudoseisura unirufa,Rufous Cacholote,rufcac2
Pseudoseisura lophotes,Brown Cacholote,brncac1
Pseudoseisura gutturalis,White-throated Cacholote,whtcac2
Certhiaxis cinnamomeus,Yellow-chinned Spinetail,yecspi2
Certhiaxis mustelinus,Red-and-white Spinetail,rawspi2
Mazaria propinqua,White-bellied Spinetail,whbspi1
Schoeniophylax phryganophilus,Chotoy Spinetail,chospi2
Synallaxis scutata,Ochre-cheeked Spinetail,occspi1
Synallaxis cinerascens,Gray-bellied Spinetail,gybspi1
Synallaxis gujanensis,Plain-crowned Spinetail,plcspi1
Synallaxis albilora,White-lored Spinetail,whlspi1
Synallaxis simoni,Araguaia Spinetail,whlspi3
Synallaxis maranonica,Marañon Spinetail,marspi3
Synallaxis hypochondriaca,Great Spinetail,grespi2
Synallaxis stictothorax,Necklaced Spinetail,necspi1
Synallaxis chinchipensis,Chinchipe Spinetail,necspi3
Synallaxis zimmeri,Russet-bellied Spinetail,rubspi3
Synallaxis brachyura,Slaty Spinetail,slaspi1
Synallaxis subpudica,Silvery-throated Spinetail,sitspi1
Synallaxis hellmayri,Red-shouldered Spinetail,resspi2
Synallaxis ruficapilla,Rufous-capped Spinetail,rucspi1
Synallaxis cinerea,Bahia Spinetail,bahspi1
Synallaxis infuscata,Pinto's Spinetail,pinspi1
Synallaxis moesta,Dusky Spinetail,dusspi1
Synallaxis macconnelli,McConnell's Spinetail,mccspi1
Synallaxis cabanisi,Cabanis's Spinetail,cabspi1
Synallaxis hypospodia,Cinereous-breasted Spinetail,cibspi1
Synallaxis spixi,Spix's Spinetail,spispi1
Synallaxis albigularis,Dark-breasted Spinetail,dabspi1
Synallaxis beverlyae,Rio Orinoco Spinetail,riospi1
Synallaxis albescens,Pale-breasted Spinetail,pabspi1
Synallaxis frontalis,Sooty-fronted Spinetail,sofspi1
Synallaxis azarae,Azara's Spinetail,azaspi1
Synallaxis courseni,Apurimac Spinetail,apuspi1
Synallaxis kollari,Hoary-throated Spinetail,hotspi1
Synallaxis erythrothorax,Rufous-breasted Spinetail,rubspi2
Synallaxis candei,White-whiskered Spinetail,whwspi1
Synallaxis tithys,Blackish-headed Spinetail,blhspi1
Synallaxis fuscorufa,Rusty-headed Spinetail,ruhspi1
Synallaxis unirufa,Rufous Spinetail,rufspi1
Synallaxis castanea,Black-throated Spinetail,bltspi1
Synallaxis cinnamomea,Stripe-breasted Spinetail,stbspi1
Synallaxis rutilans,Ruddy Spinetail,rudspi1
Synallaxis cherriei,Chestnut-throated Spinetail,chtspi1
Tyranneutes stolzmanni,Dwarf Tyrant-Manakin,dwtman1
Tyranneutes virescens,Tiny Tyrant-Manakin,titman1
Neopelma pallescens,Pale-bellied Tyrant-Manakin,pbtman1
Neopelma chrysocephalum,Saffron-crested Tyrant-Manakin,sctman1
Neopelma aurifrons,Wied's Tyrant-Manakin,witman1
Neopelma sulphureiventer,Sulphur-bellied Tyrant-Manakin,sbtman1
Protopelma chrysolophum,Serra do Mar Tyrant-Manakin,sdmman1
Chloropipo flavicapilla,Yellow-headed Manakin,yehman2
Chloropipo unicolor,Jet Manakin,jetman2
Chiroxiphia bokermanni,Araripe Manakin,araman1
Chiroxiphia galeata,Helmeted Manakin,helman1
Chiroxiphia lanceolata,Lance-tailed Manakin,latman1
Chiroxiphia linearis,Long-tailed Manakin,lotman1
Chiroxiphia pareola,Blue-backed Manakin,blbman1
Chiroxiphia boliviana,Yungas Manakin,yunman1
Chiroxiphia caudata,Swallow-tailed Manakin,swtman1
Ilicura militaris,Pin-tailed Manakin,pitman1
Masius chrysopterus,Golden-winged Manakin,gowman1
Corapipo altera,White-ruffed Manakin,whrman1
Corapipo leucorrhoa,White-bibbed Manakin,whbman2
Corapipo gutturalis,White-throated Manakin,whtman1
Xenopipo uniformis,Olive Manakin,oliman2
Xenopipo atronitens,Black Manakin,blaman1
Cryptopipo litae,Choco Manakin,grnman1
Cryptopipo holochlora,Green Manakin,greman2
Lepidothrix velutina,Velvety Manakin,bucman1
Lepidothrix coronata,Blue-capped Manakin,blcman1
Lepidothrix nattereri,Snow-capped Manakin,sncman1
Lepidothrix vilasboasi,Golden-crowned Manakin,gocman2
Lepidothrix iris,Opal-crowned Manakin,opcman1
Lepidothrix suavissima,Orange-bellied Manakin,orbman1
Lepidothrix serena,White-fronted Manakin,whfman1
Lepidothrix isidorei,Blue-rumped Manakin,blrman1
Lepidothrix coeruleocapilla,Cerulean-capped Manakin,cecman1
Heterocercus aurantiivertex,Orange-crowned Manakin,orcman3
Heterocercus flavivertex,Yellow-crowned Manakin,yecman2
Heterocercus linteatus,Flame-crowned Manakin,flcman2
Manacus candei,White-collared Manakin,whcman1
Manacus aurantiacus,Orange-collared Manakin,orcman1
Manacus vitellinus,Golden-collared Manakin,gocman1
Manacus manacus,White-bearded Manakin,whbman1
Pipra aureola,Crimson-hooded Manakin,crhman1
Pipra filicauda,Wire-tailed Manakin,witman2
Pipra fasciicauda,Band-tailed Manakin,batman1
Machaeropterus deliciosus,Club-winged Manakin,clwman1
Machaeropterus striolatus,Striolated Manakin,strman5
Machaeropterus eckelberryi,Painted Manakin,paiman1
Machaeropterus regulus,Kinglet Manakin,strman2
Machaeropterus pyrocephalus,Fiery-capped Manakin,ficman1
Pseudopipra pipra,White-crowned Manakin,whcman2
Ceratopipra cornuta,Scarlet-horned Manakin,schman1
Ceratopipra mentalis,Red-capped Manakin,recman1
Ceratopipra erythrocephala,Golden-headed Manakin,gohman1
Ceratopipra rubrocapilla,Red-headed Manakin,rehman1
Ceratopipra chloromeros,Round-tailed Manakin,rotman1
Carpornis cucullata,Hooded Berryeater,hoober2
Carpornis melanocephala,Black-headed Berryeater,bkhber1
Pipreola riefferii,Green-and-black Fruiteater,gabfru1
Pipreola intermedia,Band-tailed Fruiteater,batfru1
Pipreola arcuata,Barred Fruiteater,barfru1
Pipreola aureopectus,Golden-breasted Fruiteater,gobfru1
Pipreola jucunda,Orange-breasted Fruiteater,orbfru1
Pipreola lubomirskii,Black-chested Fruiteater,blcfru1
Pipreola pulchra,Masked Fruiteater,masfru1
Pipreola frontalis,Scarlet-breasted Fruiteater,scbfru1
Pipreola chlorolepidota,Fiery-throated Fruiteater,fitfru1
Pipreola formosa,Handsome Fruiteater,hanfru1
Pipreola whitelyi,Red-banded Fruiteater,rebfru1
Ampelioides tschudii,Scaled Fruiteater,scafru1
Zaratornis stresemanni,White-cheeked Cotinga,whccot1
Phytotoma raimondii,Peruvian Plantcutter,perpla1
Phytotoma rutila,White-tipped Plantcutter,whtpla1
Phytotoma rara,Rufous-tailed Plantcutter,rutpla1
Phibalura flavirostris,Swallow-tailed Cotinga,swtcot1
Doliornis remseni,Chestnut-bellied Cotinga,chbcot1
Doliornis sclateri,Bay-vented Cotinga,bavcot1
Ampelion rubrocristatus,Red-crested Cotinga,reccot1
Ampelion rufaxilla,Chestnut-crested Cotinga,chccot1
Phoenicircus carnifex,Guianan Red-Cotinga,gurcot1
Phoenicircus nigricollis,Black-necked Red-Cotinga,bnrcot1
Rupicola rupicola,Guianan Cock-of-the-rock,gcoroc1
Rupicola peruvianus,Andean Cock-of-the-rock,andcot1
Snowornis subalaris,Gray-tailed Piha,gytpih1
Snowornis cryptolophus,Olivaceous Piha,olipih2
Haematoderus militaris,Crimson Fruitcrow,crifru1
Querula purpurata,Purple-throated Fruitcrow,putfru1
Pyroderus scutatus,Red-ruffed Fruitcrow,rerfru1
Cephalopterus glabricollis,Bare-necked Umbrellabird,banumb1
Cephalopterus ornatus,Amazonian Umbrellabird,amaumb1
Cephalopterus penduliger,Long-wattled Umbrellabird,lowumb1
Perissocephalus tricolor,Capuchinbird,capuch1
Cotinga amabilis,Lovely Cotinga,lovcot1
Cotinga ridgwayi,Turquoise Cotinga,turcot1
Cotinga nattererii,Blue Cotinga,blucot1
Cotinga maynana,Plum-throated Cotinga,pltcot1
Cotinga cotinga,Purple-breasted Cotinga,pubcot1
Cotinga maculata,Banded Cotinga,bancot1
Cotinga cayana,Spangled Cotinga,spacot1
Lipaugus unirufus,Rufous Piha,rufpih1
Lipaugus streptophorus,Rose-collared Piha,rocpih1
Lipaugus vociferans,Screaming Piha,scrpih1
Lipaugus lanioides,Cinnamon-vented Piha,civpih1
Lipaugus ater,Black-and-gold Cotinga,bagcot1
Lipaugus conditus,Gray-winged Cotinga,gywcot1
Lipaugus weberi,Chestnut-capped Piha,chcpih1
Lipaugus fuscocinereus,Dusky Piha,duspih1
Lipaugus uropygialis,Scimitar-winged Piha,scwpih1
Procnias tricarunculatus,Three-wattled Bellbird,thwbel
Procnias albus,White Bellbird,whibel2
Procnias averano,Bearded Bellbird,beabel1
Procnias nudicollis,Bare-throated Bellbird,batbel1
Porphyrolaema porphyrolaema,Purple-throated Cotinga,putcot1
Carpodectes hopkei,Black-tipped Cotinga,bltcot1
Carpodectes antoniae,Yellow-billed Cotinga,yebcot1
